,"Graphics Card Database
Maintained by Nathan Mayer Since 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GPU Clockspeed*,Memory Clockspeed,Core Configuration*,GPU,Memory Size (MB),Buswidth (bits),Max Pixel Fillrate (MP/s),Max Texel Fillrate (MT/s),Max Shader Performance (MFLOPS),Max Bandwidth (MB/s),Vertex Proc.,"Max Vertices
(in millions)",DirectX Gen,Memory Type*,Process Size,Transistors,Bus Slot,Ext. Power,"Target Market
at Introduction","Year of
Release",Notes
Radeon X800XL,400,980(490),16 PP/TMU/ROP,R430,256-512,256,6400,6400,76800,31360,6,600,DX9b,GDDR3,110nm,160m,"PCIe16X,AGP8X",either,Highend,2005,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X800 Pro,475,900(450),12 PP/TMU/ROP,"R420,R423",256,256,5700,5700,68400,28800,6,712.5,DX9b,GDDR3,130nm,160m,"PCIe16X,AGP8X",4pin/6pin,Highend,2004,
Radeon X800XT,500,1000(500),16 PP/TMU/ROP,"R420,R423",256,256,8000,8000,96000,32000,6,750,DX9b,GDDR3,130nm,160m,"PCIe16X,AGP8X",4pin/6pin,Enthusiast,2004,
Radeon X800XT Platinum Ed.,520,1120(560),16 PP/TMU/ROP,"R420,R423",256,256,8320,8320,99840,35840,6,780,DX9b,GDDR3,130nm,160m,"PCIe16X,AGP8X",4pin/6pin,Enthusiast,2004,
Radeon X850 Pro,520,1080(540),12 PP/TMU/ROP,"R480,R481",256,256,6240,6240,74880,34560,6,780,DX9b,GDDR3,130nm,>160m,"PCIe16X,AGP8X",4pin/6pin,Highend,2004,
Radeon X850XT,520,1080(540),16 PP/TMU/ROP,"R480,R481",256-512,256,8320,8320,99840,34560,6,780,DX9b,GDDR3,130nm,>160m,"PCIe16X,AGP8X",4pin/6pin,Enthusiast,2004,
Radeon X850XT Platinum Ed.,540,1180(590),16 PP/TMU/ROP,"R480,R481",256-512,256,8640,8640,103680,37760,6,810,DX9b,GDDR3,130nm,>160m,"PCIe16X,AGP8X",4pin/6pin,Enthusiast,2004,
Radeon X1050,"325, 400","400(200), 500(250), 666(333)",4 PP/TMU/ROP,"RV350,RV370",128-256,64-128,1600,1600,19200,10656,2,200,DX9,"DDR(TSOP/BGA),DDR2","130,110nm",75m,"PCIe16X,AGP8X",no,Budget,,Supports Hyper Memory Technology. (+4GB mem bandwidth through PCIe)
Radeon X1300,450,500(250),4 PP/TMU/ROP,RV515,128-256-512,64-128,1800,1800,21600,8000,2,225,DX9c,DDR2,90nm,105m,"PCIe16X,AGP8X",either,Lower Mainstream,2005,"AGP version uses Rialto bridge chip, and requires external power."
Radeon X1300 Pro,600,800(400),4 PP/TMU/ROP,RV515,256-512,128,2400,2400,28800,12800,2,300,DX9c,DDR2,90nm,105m,"PCIe16X,AGP8X",either,Mainstream,2005,"AGP version uses Rialto bridge chip, and requires external power."
